drink_name
"
    트레비 레몬 ECO 탄산수, 20개, 350ml
"
"
    포카리스웨트, 340ml, 20개
"
"
    펩라임향시 콜라 제로 슈거, 210ml, 30개
"
"
    나랑드사이다 제로, 245ML, 30PIECE
"
"
    칠성사이다, 30개입, 210ml
"
"
    펩시 제로 슈거 무라벨 콜라 라임향, 20개, 300ml
"
"
    아이스웨일 플레인 탄산수, 20개, 500ml
"
"
    하이트진로 토닉워터, 300ml, 24개
"
"
    광동제약 비타500 칼슘, 100ml, 100개
"
"
    일화 초정탄산수 플레인, 190ml, 30개
"
"
    광동제약 비타500 칼슘, 100ml, 20개
"
"
    웅진 빅토리아 청포도 스파클링 음료, 500ml, 20개
"
"
    웅진 빅토리아 탄산수 플레인, 500ml, 20개
"
"
    동아오츠카 나랑드사이다 제로, 500ml, 20개
"
"
    동아오츠카 나랑드사이다 제로, 1.5L, 12개
"
"
    탐사 스파클링 플레인 탄산수, 500ml, 20개
"
"
    웅진 빅토리아 탄산수 레몬향, 500ml, 20개
"
"
    트레비 플레인 ECO 탄산수, 20개, 350ml
"
"
    트레비 라임 ECO, 350ml, 20개
"
"
    포카리스웨트, 1.5L, 12개
"
"
    일화 맥콜 250ml x 30캔 1박스, 30개
"
"
    포카리스웨트, 500ml, 20개
"
"
    부르르 제로콜라, 250ml, 30개
"
"
    칠성사이다 제로, 500ml, 20개
"
"
    슈가로로 스파클링 사과 음료, 24개, 350ml
"
"
    일화 부르르 제로사이다, 250ml, 30개
"
"
    펩시 콜라, 250ml, 30개
"
"
    빅토리아 파인애플 스파클링 음료, 500ml, 20개
"
"
    코카콜라 제로 190ml X 30캔
"
"
    트레비 자몽 ECO 탄산수, 350ml, 20개
"
"
    웅진 이온더핏 제로 이온음료, 24개, 500ml
"
"
    게토레이 레몬 캔, 240ml, 30개
"
"
    롯데 칠성사이다 제로, 250ml, 30개
"
"
    슈가로로 스파클링 샤인머스캣, 350ml, 24개
"
"
    광동 비타500F 240ml X 24캔 비타민음료
"
"
    싱하 소다워터 탄산수, 325ml, 24개입
"
"
    링티 제로 복숭아맛, 500ml, 24개
"
"
    포카리스웨트, 24개, 340ml
"
"
    동아오츠카 포카리스웨트, 30개, 240ml
"
"
    펩시 콜라, 210ml, 30개
"
"
    웅진 빅토리아 그린애플 탄산음료, 500ml, 20개입
"
"
    게토레이 레몬, 1.5L, 12개
"
"
    웅진 빅토리아 탄산음료 자몽, 500ml, 20개
"
"
    트레비 탄산음료 레몬맛, 500ml, 20개
"
"
    웅진식품 815콜라 제로 음료, 250ml, 30개
"
"
    칠성사이다 ECO 사이다, 20개, 300ml
"
"
    슈가로로 스파클링 레몬사이다, 350ml, 24개
"
"
    게토레이 레몬, 600ml, 20개
"
"
    분다버그 핑크 그레이프푸르트 탄산음료, 375ml, 12개
"
"
    동아오츠카 오로나민C 비타민음료, 50개입, 120ml
"
"
    원에이엠 스파클링 애플 탄산수, 24개, 350ml
"
"
    고려은단 마시는 비타민C 1000, 100ml, 100개입
"
