reviews
마트에 콜라가 없어서 구입했어요  가격이 인상되서 걱정했는데 이곳에서 저렴하게 구입한것 같아요  다음에도 재구매하고 싶어요 
맛 만족도 괜찮아요
맛 만족도 예상보다 맛있어요
재구매 했어요  마트보다 용량대비 저렴해요 
콜라는 코카
맛 만족도 예상보다 맛 없어요
