reviews
최애 소다 중 하나 탄산이 되게 청량감 있고 맛도 제법 달달 해요
저는 마시는 음료 별로 좋아하지 않는데 어떤가하고 주문하여 함께 배우는 회원들과 음용하니 상큼하고 좋았어요 
""
맛 만족도 예상보다 맛 없어요
편의점서 시먹다 걍 냉장고에 넣어두고 먹으려고 구매함 짱맛나염 향도 좋아요
우연히 편의점에서    으로 사먹은뒤 이것만 찾아 마셨어요    편의점 이제 없길래 회사앞 이마트편의점에서만 팔길래 탄산 음료 마시고 싶으면 종종 사먹었는데 더워지니 자주 생각나서 역시 쿠팡  판매중 이기래 얼른 샀네요  콜라나 사이다보다 탄산은 약한것 같아도 귤맛도 적당히 달고 전 제 입맛에 완젼 딱 이여서 즐겨 마시네요  주변인들에게도 마셔보라고 권하면 탄산음료 싫어하시는 분들도 과하지 않아 좋다고 저 처럼 구매 해요    전 콜라나 사이다 좀 마시면 목이 칼칼해지는게 목이 아파지더라구여  그래서 자주 안 마시는데 앤 진짜 넘 쪼아 으힛   쟁여두고 계속 먹게 될 음료예요 
상큼하고맛있어요 박스로 사다 냉장고에넣어두고 시원하게마시고있어요 정말최고에요
맛 만족도 예상보다 맛있어요
계속  품절이길래 기다리고 기다리다 살짝 잊었다가  다시 찾아보니 품절 풀렸길래 바로 구매   탄산은 있지만 살짝 약하고 살짝 시면서 맛있어요  
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
 명에게 도움 됨
 명에게 도움 됨
첨에 편의점에서 사먹고 맛있어서 쿠팡에서 구매하기시작 했어요 한라봉은 탄산도 적당하고 맛있어서 자주 시키는데 품절이 자주 떠서 그점이 좀 아쉬워요 다른데 시켰다가 불량식품맛이 나서 다버렸어요 
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
맛 만족도 괜찮아요
맛 만족도 괜찮아요
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
타제품에 비교해서 탄산도는 살짝 약하고 향이 강하네요  먹을만한 음료입니다 
똑같은제품먹어보고 시켯는대 이제품이 탄산이없는거같아요
맛이 예전보다 덜하군요    상품평을 비공개 처리한다고요
 명에게 도움 됨
 명에게 도움 됨
맛 만족도 예상보다 맛 없어요
맛 만족도 예상보다 맛있어요
너무 맛있어요      
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
싸게 잘샀어요
넘 맛난음료 가격이 자꾸 올라서 속상하네요
맛 만족도 예상보다 맛 없어요
가격이 올라가고 품절이 자주된다 
""
맛 만족도 예상보다 맛 없어요
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
맛 만족도 예상보다 맛있어요
남자친구가 올때마다 하나씩 먹어요
탄산이 적게 들어가서 목넘김 좋음
계속 먹게되요 
존맛
 명에게 도움 됨
맛 만족도 예상보다 맛있어요
진짜맛있어요
맛 만족도 예상보다 맛있어요
편의점에서 가끔 사먹는 제품이여서 구매했는데 박스는 젖어서 강제 오픈되있었구요 비와서 그런가해서 봤더니 캔하나가 터져있었습니다  그리고   개중에 터진거  개 캔바닥 찌그러진거  개입니다  배송의 잘못인지 제품의 잘못인지     개만 터진거면 모르겠는데 바닥은 이상하게 팽창해서 찌그러지고 하자상품 떨이하는거였나요  터진거때문에 하나씩 다 까서 딱다가 찌그러지고 이상하게 딴딴하고  이거 먹어도 되는건가요   
  월 일구매    월 일 배송완료로 판매자가 임의적으로 변경   월   일 기다리다가 떠서 확인해보니 문앞에없음  다른집으로 오배송됬나 여기저기 확인해보고 판매자에게 직접 확인해보니 파손으로 빈품 됬다고함     일 뒤에 다시 받을수 있게 보낸다고함     월   일 파손된 상품 다시옴  새집인데 집앞 바닥 탄산액 쏟아저서 끈적거림  집안에 들여놨는데 집안 바닥까지 흘러내려서 끈적거림
집에 탄산을 다 먹어서 대체차원에서 검색 후 구매  위 상태에서 박스 포장 총알 배송  가격도 착하고 양도 넉넉하고 먹어보니 정말 좋네요  만족합니다  잘 먹을깨요  많이 파세요
""
맛 만족도 예상보다 맛있어요
""
맛 만족도 괜찮아요
맛 만족도 괜찮아요
맛 만족도 괜찮아요
""
